Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros
2018,1,Ciutat Vella,1,el Raval,1,26743
2018,1,Ciutat Vella,1,el Raval,2,21787
2018,1,Ciutat Vella,1,el Raval,3,24215
2018,1,Ciutat Vella,1,el Raval,4,27797
2018,1,Ciutat Vella,1,el Raval,5,22223
2018,1,Ciutat Vella,1,el Raval,6,26685
2018,1,Ciutat Vella,1,el Raval,7,25809
2018,1,Ciutat Vella,1,el Raval,8,21803
2018,1,Ciutat Vella,1,el Raval,9,24464
2018,1,Ciutat Vella,1,el Raval,10,23600
2018,1,Ciutat Vella,1,el Raval,11,21640
2018,1,Ciutat Vella,1,el Raval,12,25288
2018,1,Ciutat Vella,1,el Raval,13,28199
2018,1,Ciutat Vella,1,el Raval,14,25750
2018,1,Ciutat Vella,1,el Raval,15,25862
2018,1,Ciutat Vella,1,el Raval,16,26900
2018,1,Ciutat Vella,1,el Raval,17,25896
2018,1,Ciutat Vella,1,el Raval,18,25100
2018,1,Ciutat Vella,1,el Raval,19,23736
2018,1,Ciutat Vella,1,el Raval,20,32039
2018,1,Ciutat Vella,1,el Raval,21,29666
2018,1,Ciutat Vella,2,el Gòtic,22,35406
2018,1,Ciutat Vella,2,el Gòtic,23,31157
2018,1,Ciutat Vella,2,el Gòtic,25,28356
2018,1,Ciutat Vella,2,el Gòtic,26,26455
2018,1,Ciutat Vella,2,el Gòtic,27,27595
2018,1,Ciutat Vella,2,el Gòtic,28,27513
2018,1,Ciutat Vella,2,el Gòtic,29,24451
2018,1,Ciutat Vella,2,el Gòtic,30,25379
2018,1,Ciutat Vella,2,el Gòtic,31,28096
2018,1,Ciutat Vella,3,la Barceloneta,32,26568
2018,1,Ciutat Vella,3,la Barceloneta,33,23066
2018,1,Ciutat Vella,3,la Barceloneta,34,22767
2018,1,Ciutat Vella,3,la Barceloneta,35,23828
2018,1,Ciutat Vella,3,la Barceloneta,36,29060
2018,1,Ciutat Vella,3,la Barceloneta,37,28823
2018,1,Ciutat Vella,3,la Barceloneta,38,23683
2018,1,Ciutat Vella,3,la Barceloneta,39,27720
2018,1,Ciutat Vella,3,la Barceloneta,40,27393
2018,1,Ciutat Vella,3,la Barceloneta,41,22386
2018,1,Ciutat Vella,3,la Barceloneta,42,29243
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,35247
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,32887
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,25718
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,29861
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,23026
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,22369
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,30942
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,28206
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,23327
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,41948
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,24036
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,25967
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,34350
2018,2,Eixample,5,el Fort Pienc,1,40055
2018,2,Eixample,5,el Fort Pienc,2,38897
2018,2,Eixample,5,el Fort Pienc,3,44174
2018,2,Eixample,5,el Fort Pienc,4,35407
2018,2,Eixample,5,el Fort Pienc,5,43074
2018,2,Eixample,5,el Fort Pienc,6,42907
2018,2,Eixample,5,el Fort Pienc,7,46515
2018,2,Eixample,5,el Fort Pienc,8,44423
2018,2,Eixample,5,el Fort Pienc,9,43086
2018,2,Eixample,5,el Fort Pienc,10,39396
2018,2,Eixample,5,el Fort Pienc,11,43468
2018,2,Eixample,5,el Fort Pienc,12,35695
2018,2,Eixample,5,el Fort Pienc,13,32069
2018,2,Eixample,5,el Fort Pienc,14,31892
2018,2,Eixample,5,el Fort Pienc,15,33155
2018,2,Eixample,5,el Fort Pienc,16,45355
2018,2,Eixample,5,el Fort Pienc,17,44642
2018,2,Eixample,5,el Fort Pienc,18,45945
2018,2,Eixample,5,el Fort Pienc,19,39204
2018,2,Eixample,5,el Fort Pienc,20,33332
2018,2,Eixample,6,la Sagrada Família,21,35662
2018,2,Eixample,6,la Sagrada Família,22,40295
2018,2,Eixample,6,la Sagrada Família,23,39096
2018,2,Eixample,6,la Sagrada Família,24,34570
2018,2,Eixample,6,la Sagrada Família,25,32791
2018,2,Eixample,6,la Sagrada Família,26,40305
2018,2,Eixample,6,la Sagrada Família,27,38989
2018,2,Eixample,6,la Sagrada Família,28,43024
2018,2,Eixample,6,la Sagrada Família,29,39164
2018,2,Eixample,6,la Sagrada Família,30,31201
2018,2,Eixample,6,la Sagrada Família,31,46664
2018,2,Eixample,6,la Sagrada Família,32,38146
2018,2,Eixample,6,la Sagrada Família,33,37068
2018,2,Eixample,6,la Sagrada Família,34,32941
2018,2,Eixample,6,la Sagrada Família,35,38860
2018,2,Eixample,6,la Sagrada Família,36,44386
2018,2,Eixample,6,la Sagrada Família,37,46792
2018,2,Eixample,6,la Sagrada Família,38,43611
2018,2,Eixample,6,la Sagrada Família,39,36742
2018,2,Eixample,6,la Sagrada Família,40,32611
2018,2,Eixample,6,la Sagrada Família,41,36772
2018,2,Eixample,6,la Sagrada Família,42,45859
2018,2,Eixample,6,la Sagrada Família,43,43923
2018,2,Eixample,6,la Sagrada Família,44,34429
2018,2,Eixample,6,la Sagrada Família,45,41963
2018,2,Eixample,6,la Sagrada Família,46,36158
2018,2,Eixample,6,la Sagrada Família,47,38331
2018,2,Eixample,6,la Sagrada Família,48,39599
2018,2,Eixample,6,la Sagrada Família,49,34401
2018,2,Eixample,6,la Sagrada Família,50,35520
2018,2,Eixample,6,la Sagrada Família,51,34657
2018,2,Eixample,6,la Sagrada Família,52,38372
2018,2,Eixample,6,la Sagrada Família,53,37801
2018,2,Eixample,6,la Sagrada Família,54,41331
2018,2,Eixample,7,la Dreta de l'Eixample,55,41143
2018,2,Eixample,7,la Dreta de l'Eixample,56,40120
2018,2,Eixample,7,la Dreta de l'Eixample,57,54923
2018,2,Eixample,7,la Dreta de l'Eixample,58,45564
2018,2,Eixample,7,la Dreta de l'Eixample,59,49866
2018,2,Eixample,7,la Dreta de l'Eixample,60,43646
2018,2,Eixample,7,la Dreta de l'Eixample,61,39605
2018,2,Eixample,7,la Dreta de l'Eixample,62,48555
2018,2,Eixample,7,la Dreta de l'Eixample,63,62856
2018,2,Eixample,7,la Dreta de l'Eixample,64,54572
2018,2,Eixample,7,la Dreta de l'Eixample,65,46117
2018,2,Eixample,7,la Dreta de l'Eixample,66,43681
2018,2,Eixample,7,la Dreta de l'Eixample,67,37694
2018,2,Eixample,7,la Dreta de l'Eixample,68,42329
2018,2,Eixample,7,la Dreta de l'Eixample,69,43748
2018,2,Eixample,7,la Dreta de l'Eixample,70,47034
2018,2,Eixample,7,la Dreta de l'Eixample,71,54083
2018,2,Eixample,7,la Dreta de l'Eixample,72,58972
2018,2,Eixample,7,la Dreta de l'Eixample,73,53912
2018,2,Eixample,7,la Dreta de l'Eixample,74,55165
2018,2,Eixample,7,la Dreta de l'Eixample,75,46875
2018,2,Eixample,7,la Dreta de l'Eixample,76,56460
2018,2,Eixample,7,la Dreta de l'Eixample,77,50729
2018,2,Eixample,7,la Dreta de l'Eixample,78,56091
2018,2,Eixample,7,la Dreta de l'Eixample,79,55446
2018,2,Eixample,7,la Dreta de l'Eixample,80,57517
2018,2,Eixample,7,la Dreta de l'Eixample,81,54485
2018,2,Eixample,7,la Dreta de l'Eixample,82,49537
2018,2,Eixample,7,la Dreta de l'Eixample,83,67993
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,84,48454
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,85,45875
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,86,52034
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,87,46683
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,88,46588
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,89,47549
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,90,39942
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,91,47307
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,92,39871
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,93,45643
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,94,46516
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,95,44721
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,96,41723
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,97,38128
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,98,40489
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,99,48164
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,100,43315
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,101,44067
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,102,50589
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,103,35323
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,104,48677
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,105,38153
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,106,48247
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,107,51117
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,108,56076
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,109,56019
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,110,41856
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,111,43335
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,112,54497
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,113,54985
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,114,41784
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,115,38134
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,116,53948
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,117,44988
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,118,50555
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,119,45008
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,120,41851
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,121,42237
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,122,51727
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,123,42955
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,124,46185
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,125,43711
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,126,48139
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,127,38387
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,128,38289
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,129,43037
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,130,67407
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,131,39739
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,132,41435
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,133,42226
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,134,39613
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,135,34767
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,136,44623
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,137,37459
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,138,44445
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,139,35824
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,140,40882
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,141,40013
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,142,35788
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,143,41868
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,144,44328
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,145,40957
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,146,40703
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,147,37650
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,148,39575
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,149,42863
2018,2,Eixample,10,Sant Antoni,150,37636
2018,2,Eixample,10,Sant Antoni,151,38590
2018,2,Eixample,10,Sant Antoni,152,44086
2018,2,Eixample,10,Sant Antoni,153,40334
2018,2,Eixample,10,Sant Antoni,154,34708
2018,2,Eixample,10,Sant Antoni,155,36526
2018,2,Eixample,10,Sant Antoni,156,38655
2018,2,Eixample,10,Sant Antoni,157,34863
2018,2,Eixample,10,Sant Antoni,158,40406
2018,2,Eixample,10,Sant Antoni,159,40532
2018,2,Eixample,10,Sant Antoni,160,42059
2018,2,Eixample,10,Sant Antoni,161,38641
2018,2,Eixample,10,Sant Antoni,162,34480
2018,2,Eixample,10,Sant Antoni,163,40191
2018,2,Eixample,10,Sant Antoni,164,39439
2018,2,Eixample,10,Sant Antoni,165,38584
2018,2,Eixample,10,Sant Antoni,166,35769
2018,2,Eixample,10,Sant Antoni,167,41062
2018,2,Eixample,10,Sant Antoni,168,37810
2018,2,Eixample,10,Sant Antoni,169,35412
2018,2,Eixample,10,Sant Antoni,170,36097
2018,2,Eixample,10,Sant Antoni,171,33637
2018,2,Eixample,10,Sant Antoni,172,32583
2018,2,Eixample,10,Sant Antoni,173,35437
2018,3,Sants-Montjuïc,11,el Poble Sec,1,32894
2018,3,Sants-Montjuïc,11,el Poble Sec,2,28227
2018,3,Sants-Montjuïc,11,el Poble Sec,3,27678
2018,3,Sants-Montjuïc,11,el Poble Sec,4,32574
2018,3,Sants-Montjuïc,11,el Poble Sec,5,28158
2018,3,Sants-Montjuïc,11,el Poble Sec,6,30642
2018,3,Sants-Montjuïc,11,el Poble Sec,7,29814
2018,3,Sants-Montjuïc,11,el Poble Sec,8,27926
2018,3,Sants-Montjuïc,11,el Poble Sec,9,30930
2018,3,Sants-Montjuïc,11,el Poble Sec,10,30159
2018,3,Sants-Montjuïc,11,el Poble Sec,11,24384
2018,3,Sants-Montjuïc,11,el Poble Sec,12,28617
2018,3,Sants-Montjuïc,11,el Poble Sec,13,26373
2018,3,Sants-Montjuïc,11,el Poble Sec,14,27329
2018,3,Sants-Montjuïc,11,el Poble Sec,15,28593
2018,3,Sants-Montjuïc,11,el Poble Sec,16,27468
2018,3,Sants-Montjuïc,11,el Poble Sec,17,25874
2018,3,Sants-Montjuïc,11,el Poble Sec,18,30871
2018,3,Sants-Montjuïc,11,el Poble Sec,19,29482
2018,3,Sants-Montjuïc,11,el Poble Sec,20,35407
2018,3,Sants-Montjuïc,11,el Poble Sec,21,34394
2018,3,Sants-Montjuïc,11,el Poble Sec,22,31846
2018,3,Sants-Montjuïc,11,el Poble Sec,23,28705
2018,3,Sants-Montjuïc,11,el Poble Sec,24,29308
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermell,25,25133
2018,3,Sants-Montjuïc,13,la Marina de Port,26,31638
2018,3,Sants-Montjuïc,13,la Marina de Port,27,32423
2018,3,Sants-Montjuïc,13,la Marina de Port,28,38749
2018,3,Sants-Montjuïc,13,la Marina de Port,29,30701
2018,3,Sants-Montjuïc,13,la Marina de Port,30,32656
2018,3,Sants-Montjuïc,13,la Marina de Port,31,31749
2018,3,Sants-Montjuïc,13,la Marina de Port,32,27003
2018,3,Sants-Montjuïc,13,la Marina de Port,33,25376
2018,3,Sants-Montjuïc,13,la Marina de Port,34,32671
2018,3,Sants-Montjuïc,13,la Marina de Port,35,34186
