Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_DOMICILI
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,281,1
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,147,2
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,92,3
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,223,1
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,210,2
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,105,3
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,534,1
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,318,2
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,233,3
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,566,1
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,322,2
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,216,3
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,488,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,313,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,164,3
2020-01-01,1,Ciutat Vella,1,el Raval,3,1006,253,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1006,228,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1006,128,3
2020-01-01,1,Ciutat Vella,1,el Raval,3,1007,280,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1007,252,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1007,166,3
2020-01-01,1,Ciutat Vella,1,el Raval,4,1008,410,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1008,381,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1008,255,3
2020-01-01,1,Ciutat Vella,1,el Raval,4,1009,403,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1009,289,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1009,148,3
2020-01-01,1,Ciutat Vella,1,el Raval,4,1010,304,1
2020-01-01,1,Ciutat Vella,1,el Raval,4,1010,317,2
2020-01-01,1,Ciutat Vella,1,el Raval,4,1010,190,3
2020-01-01,1,Ciutat Vella,1,el Raval,5,1011,423,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1011,464,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1011,266,3
2020-01-01,1,Ciutat Vella,1,el Raval,5,1012,370,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1012,233,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1012,150,3
2020-01-01,1,Ciutat Vella,1,el Raval,5,1013,284,1
2020-01-01,1,Ciutat Vella,1,el Raval,5,1013,95,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,1013,130,3
2020-01-01,1,Ciutat Vella,1,el Raval,6,1014,278,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1014,186,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1014,143,3
2020-01-01,1,Ciutat Vella,1,el Raval,6,1015,373,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1015,304,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1015,178,3
2020-01-01,1,Ciutat Vella,1,el Raval,6,1016,273,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1016,272,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1016,204,3
2020-01-01,1,Ciutat Vella,1,el Raval,6,1017,319,1
2020-01-01,1,Ciutat Vella,1,el Raval,6,1017,338,2
2020-01-01,1,Ciutat Vella,1,el Raval,6,1017,237,3
2020-01-01,1,Ciutat Vella,1,el Raval,7,1018,278,1
2020-01-01,1,Ciutat Vella,1,el Raval,7,1018,154,2
2020-01-01,1,Ciutat Vella,1,el Raval,7,1018,125,3
2020-01-01,1,Ciutat Vella,1,el Raval,7,1019,455,1
2020-01-01,1,Ciutat Vella,1,el Raval,7,1019,471,2
2020-01-01,1,Ciutat Vella,1,el Raval,7,1019,215,3
2020-01-01,1,Ciutat Vella,1,el Raval,7,1020,489,1
2020-01-01,1,Ciutat Vella,1,el Raval,7,1020,248,2
2020-01-01,1,Ciutat Vella,1,el Raval,7,1020,179,3
2020-01-01,1,Ciutat Vella,1,el Raval,8,1021,521,1
2020-01-01,1,Ciutat Vella,1,el Raval,8,1021,313,2
2020-01-01,1,Ciutat Vella,1,el Raval,8,1021,172,3
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,323,1
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,175,2
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,109,3
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,465,1
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,299,2
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,169,3
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,259,1
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,253,2
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,110,3
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,317,1
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,235,2
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,94,3
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,338,1
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,231,2
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,113,3
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,359,1
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,337,2
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,143,3
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,217,1
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,287,2
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,113,3
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,482,1
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,346,2
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,180,3
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,256,1
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,276,2
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,132,3
2020-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,479,1
2020-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,311,2
2020-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,132,3
2020-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,273,1
2020-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,187,2
2020-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,78,3
2020-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,250,1
2020-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,171,2
2020-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,65,3
2020-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,308,1
2020-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,215,2
2020-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,82,3
2020-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,342,1
2020-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,93,2
2020-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,57,3
2020-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,390,1
2020-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,129,2
2020-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,71,3
2020-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,330,1
2020-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,330,2
2020-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,82,3
2020-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,351,1
2020-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,153,2
2020-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,86,3
2020-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,262,1
2020-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,195,2
2020-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,80,3
2020-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,324,1
2020-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,333,2
2020-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,114,3
2020-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,535,1
2020-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,120,2
2020-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,84,3
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,420,1
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,251,2
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,123,3
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,367,1
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,211,2
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,109,3
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,428,1
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,377,2
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,158,3
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,354,1
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,323,2
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,149,3
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,417,1
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,280,2
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,123,3
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,421,1
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,306,2
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,183,3
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,303,1
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,178,2
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,96,3
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,317,1
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,250,2
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,124,3
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,350,1
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,312,2
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,166,3
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,512,1
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,297,2
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,185,3
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,531,1
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,265,2
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,128,3
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,321,1
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,209,2
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,96,3
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,395,1
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,94,2
2020-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,81,3
2020-01-01,2,Eixample,5,el Fort Pienc,20,2001,382,1
2020-01-01,2,Eixample,5,el Fort Pienc,20,2001,80,2
2020-01-01,2,Eixample,5,el Fort Pienc,20,2001,64,3
2020-01-01,2,Eixample,5,el Fort Pienc,20,2002,543,1
2020-01-01,2,Eixample,5,el Fort Pienc,20,2002,120,2
2020-01-01,2,Eixample,5,el Fort Pienc,20,2002,91,3
2020-01-01,2,Eixample,5,el Fort Pienc,20,2003,333,1
2020-01-01,2,Eixample,5,el Fort Pienc,20,2003,45,2
2020-01-01,2,Eixample,5,el Fort Pienc,20,2003,52,3
2020-01-01,2,Eixample,5,el Fort Pienc,20,2004,382,1
2020-01-01,2,Eixample,5,el Fort Pienc,20,2004,87,2
2020-01-01,2,Eixample,5,el Fort Pienc,20,2004,91,3
2020-01-01,2,Eixample,5,el Fort Pienc,20,2005,691,1
2020-01-01,2,Eixample,5,el Fort Pienc,20,2005,91,2
2020-01-01,2,Eixample,5,el Fort Pienc,20,2005,69,3
2020-01-01,2,Eixample,5,el Fort Pienc,20,2006,503,1
2020-01-01,2,Eixample,5,el Fort Pienc,20,2006,90,2
2020-01-01,2,Eixample,5,el Fort Pienc,20,2006,86,3
2020-01-01,2,Eixample,5,el Fort Pienc,20,2007,363,1
2020-01-01,2,Eixample,5,el Fort Pienc,20,2007,84,2
2020-01-01,2,Eixample,5,el Fort Pienc,20,2007,66,3
2020-01-01,2,Eixample,5,el Fort Pienc,20,2008,557,1
2020-01-01,2,Eixample,5,el Fort Pienc,20,2008,96,2
2020-01-01,2,Eixample,5,el Fort Pienc,20,2008,110,3
2020-01-01,2,Eixample,5,el Fort Pienc,20,2009,523,1
2020-01-01,2,Eixample,5,el Fort Pienc,20,2009,95,2
2020-01-01,2,Eixample,5,el Fort Pienc,20,2009,83,3
2020-01-01,2,Eixample,5,el Fort Pienc,21,2010,345,1
2020-01-01,2,Eixample,5,el Fort Pienc,21,2010,46,2
2020-01-01,2,Eixample,5,el Fort Pienc,21,2010,75,3
2020-01-01,2,Eixample,5,el Fort Pienc,21,2011,374,1
2020-01-01,2,Eixample,5,el Fort Pienc,21,2011,61,2
2020-01-01,2,Eixample,5,el Fort Pienc,21,2011,46,3
2020-01-01,2,Eixample,5,el Fort Pienc,21,2012,432,1
2020-01-01,2,Eixample,5,el Fort Pienc,21,2012,78,2
2020-01-01,2,Eixample,5,el Fort Pienc,21,2012,93,3
2020-01-01,2,Eixample,5,el Fort Pienc,21,2013,342,1
2020-01-01,2,Eixample,5,el Fort Pienc,21,2013,90,2
2020-01-01,2,Eixample,5,el Fort Pienc,21,2013,75,3
2020-01-01,2,Eixample,5,el Fort Pienc,22,2014,374,1
2020-01-01,2,Eixample,5,el Fort Pienc,22,2014,97,2
2020-01-01,2,Eixample,5,el Fort Pienc,22,2014,111,3
2020-01-01,2,Eixample,5,el Fort Pienc,22,2015,443,1
2020-01-01,2,Eixample,5,el Fort Pienc,22,2015,115,2
2020-01-01,2,Eixample,5,el Fort Pienc,22,2015,102,3
2020-01-01,2,Eixample,5,el Fort Pienc,22,2016,583,1
2020-01-01,2,Eixample,5,el Fort Pienc,22,2016,86,2
2020-01-01,2,Eixample,5,el Fort Pienc,22,2016,108,3
2020-01-01,2,Eixample,5,el Fort Pienc,22,2017,571,1
2020-01-01,2,Eixample,5,el Fort Pienc,22,2017,110,2
2020-01-01,2,Eixample,5,el Fort Pienc,22,2017,111,3
2020-01-01,2,Eixample,5,el Fort Pienc,22,2018,578,1
2020-01-01,2,Eixample,5,el Fort Pienc,22,2018,84,2
2020-01-01,2,Eixample,5,el Fort Pienc,22,2018,91,3
2020-01-01,2,Eixample,5,el Fort Pienc,22,2019,606,1
2020-01-01,2,Eixample,5,el Fort Pienc,22,2019,122,2
2020-01-01,2,Eixample,5,el Fort Pienc,22,2019,96,3
2020-01-01,2,Eixample,5,el Fort Pienc,22,2020,438,1
2020-01-01,2,Eixample,5,el Fort Pienc,22,2020,132,2
2020-01-01,2,Eixample,5,el Fort Pienc,22,2020,79,3
2020-01-01,2,Eixample,6,la Sagrada Família,23,2021,500,1
2020-01-01,2,Eixample,6,la Sagrada Família,23,2021,84,2
2020-01-01,2,Eixample,6,la Sagrada Família,23,2021,89,3
2020-01-01,2,Eixample,6,la Sagrada Família,23,2022,392,1
2020-01-01,2,Eixample,6,la Sagrada Família,23,2022,61,2
