Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_DOMICILI
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,283,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,125,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,95,3
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,264,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,161,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,114,3
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,571,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,276,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,198,3
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,612,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,245,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,190,3
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,528,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,218,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,173,3
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,276,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,194,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,124,3
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,342,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,170,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,152,3
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,462,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,330,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,215,3
2015-01-01,1,Ciutat Vella,1,el Raval,4,1009,440,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1009,213,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1009,143,3
2015-01-01,1,Ciutat Vella,1,el Raval,4,1010,324,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1010,237,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1010,184,3
2015-01-01,1,Ciutat Vella,1,el Raval,5,1011,483,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1011,360,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1011,278,3
2015-01-01,1,Ciutat Vella,1,el Raval,5,1012,411,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1012,182,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1012,126,3
2015-01-01,1,Ciutat Vella,1,el Raval,5,1013,318,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1013,69,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1013,98,3
2015-01-01,1,Ciutat Vella,1,el Raval,6,1014,284,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1014,117,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1014,175,3
2015-01-01,1,Ciutat Vella,1,el Raval,6,1015,419,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1015,180,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1015,189,3
2015-01-01,1,Ciutat Vella,1,el Raval,6,1016,324,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1016,195,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1016,220,3
2015-01-01,1,Ciutat Vella,1,el Raval,6,1017,371,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1017,247,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1017,243,3
2015-01-01,1,Ciutat Vella,1,el Raval,7,1018,296,1
2015-01-01,1,Ciutat Vella,1,el Raval,7,1018,111,2
2015-01-01,1,Ciutat Vella,1,el Raval,7,1018,128,3
2015-01-01,1,Ciutat Vella,1,el Raval,7,1019,487,1
2015-01-01,1,Ciutat Vella,1,el Raval,7,1019,315,2
2015-01-01,1,Ciutat Vella,1,el Raval,7,1019,236,3
2015-01-01,1,Ciutat Vella,1,el Raval,7,1020,556,1
2015-01-01,1,Ciutat Vella,1,el Raval,7,1020,172,2
2015-01-01,1,Ciutat Vella,1,el Raval,7,1020,158,3
2015-01-01,1,Ciutat Vella,1,el Raval,8,1021,555,1
2015-01-01,1,Ciutat Vella,1,el Raval,8,1021,220,2
2015-01-01,1,Ciutat Vella,1,el Raval,8,1021,150,3
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,343,1
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,105,2
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,104,3
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,550,1
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,184,2
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,152,3
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,318,1
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,163,2
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,108,3
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,351,1
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,182,2
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,110,3
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,395,1
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,176,2
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,116,3
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,430,1
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,239,2
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,155,3
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,284,1
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,180,2
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,118,3
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,558,1
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,257,2
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,168,3
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,315,1
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,228,2
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,128,3
2015-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,539,1
2015-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,231,2
2015-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,111,3
2015-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,319,1
2015-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,116,2
2015-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,72,3
2015-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,311,1
2015-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,105,2
2015-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,79,3
2015-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,363,1
2015-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,148,2
2015-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,98,3
2015-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,382,1
2015-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,51,2
2015-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,49,3
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,404,1
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,78,2
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,67,3
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,378,1
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,199,2
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,106,3
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,406,1
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,109,2
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,63,3
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,320,1
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,120,2
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,81,3
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,390,1
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,232,2
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,82,3
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,575,1
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,83,2
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,82,3
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,324,1
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,179,2
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,104,3
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,419,1
