Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_DOMICILI
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,267,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,149,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,101,3
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,204,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,215,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1002,120,3
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,522,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,273,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1003,280,3
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,548,1
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,312,2
2022-01-01,1,Ciutat Vella,1,el Raval,2,1004,252,3
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,478,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,288,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1005,188,3
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,242,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,250,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1006,125,3
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,283,1
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,230,2
2022-01-01,1,Ciutat Vella,1,el Raval,3,1007,167,3
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,383,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,393,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1008,277,3
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,397,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,265,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1009,183,3
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,289,1
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,310,2
2022-01-01,1,Ciutat Vella,1,el Raval,4,1010,222,3
2022-01-01,1,Ciutat Vella,1,el Raval,5,1011,417,1
2022-01-01,1,Ciutat Vella,1,el Raval,5,1011,437,2
2022-01-01,1,Ciutat Vella,1,el Raval,5,1011,283,3
2022-01-01,1,Ciutat Vella,1,el Raval,5,1012,347,1
2022-01-01,1,Ciutat Vella,1,el Raval,5,1012,222,2
2022-01-01,1,Ciutat Vella,1,el Raval,5,1012,171,3
2022-01-01,1,Ciutat Vella,1,el Raval,5,1013,268,1
2022-01-01,1,Ciutat Vella,1,el Raval,5,1013,102,2
2022-01-01,1,Ciutat Vella,1,el Raval,5,1013,131,3
2022-01-01,1,Ciutat Vella,1,el Raval,6,1014,267,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1014,173,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1014,163,3
2022-01-01,1,Ciutat Vella,1,el Raval,6,1015,362,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1015,294,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1015,199,3
2022-01-01,1,Ciutat Vella,1,el Raval,6,1016,271,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1016,281,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1016,197,3
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,292,1
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,331,2
2022-01-01,1,Ciutat Vella,1,el Raval,6,1017,257,3
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,255,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,148,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1018,133,3
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,421,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,405,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1019,269,3
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,471,1
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,260,2
2022-01-01,1,Ciutat Vella,1,el Raval,7,1020,192,3
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,482,1
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,312,2
2022-01-01,1,Ciutat Vella,1,el Raval,8,1021,166,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,297,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,217,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,105,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,451,1
