Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_DOMICILI
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,262,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,149,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,106,3
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,203,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,198,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,95,3
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,527,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,268,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,269,3
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,541,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,334,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,251,3
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,480,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,295,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,185,3
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,246,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,237,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,133,3
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,284,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,228,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,171,3
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,403,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,362,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,275,3
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,389,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,249,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,188,3
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,278,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,312,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,233,3
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,409,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,430,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,299,3
