Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_DOMICILI
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,274,1
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,139,2
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,90,3
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,260,1
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,180,2
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,117,3
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,551,1
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,284,2
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,215,3
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,615,1
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,270,2
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,203,3
2017-01-01,1,Ciutat Vella,1,el Raval,3,1005,504,1
2017-01-01,1,Ciutat Vella,1,el Raval,3,1005,262,2
2017-01-01,1,Ciutat Vella,1,el Raval,3,1005,167,3
2017-01-01,1,Ciutat Vella,1,el Raval,3,1006,263,1
2017-01-01,1,Ciutat Vella,1,el Raval,3,1006,213,2
2017-01-01,1,Ciutat Vella,1,el Raval,3,1006,125,3
2017-01-01,1,Ciutat Vella,1,el Raval,3,1007,317,1
2017-01-01,1,Ciutat Vella,1,el Raval,3,1007,198,2
2017-01-01,1,Ciutat Vella,1,el Raval,3,1007,154,3
2017-01-01,1,Ciutat Vella,1,el Raval,4,1008,422,1
2017-01-01,1,Ciutat Vella,1,el Raval,4,1008,335,2
2017-01-01,1,Ciutat Vella,1,el Raval,4,1008,230,3
2017-01-01,1,Ciutat Vella,1,el Raval,4,1009,433,1
2017-01-01,1,Ciutat Vella,1,el Raval,4,1009,236,2
2017-01-01,1,Ciutat Vella,1,el Raval,4,1009,136,3
2017-01-01,1,Ciutat Vella,1,el Raval,4,1010,325,1
2017-01-01,1,Ciutat Vella,1,el Raval,4,1010,258,2
2017-01-01,1,Ciutat Vella,1,el Raval,4,1010,198,3
2017-01-01,1,Ciutat Vella,1,el Raval,5,1011,451,1
2017-01-01,1,Ciutat Vella,1,el Raval,5,1011,384,2
2017-01-01,1,Ciutat Vella,1,el Raval,5,1011,268,3
2017-01-01,1,Ciutat Vella,1,el Raval,5,1012,403,1
2017-01-01,1,Ciutat Vella,1,el Raval,5,1012,191,2
2017-01-01,1,Ciutat Vella,1,el Raval,5,1012,130,3
2017-01-01,1,Ciutat Vella,1,el Raval,5,1013,313,1
2017-01-01,1,Ciutat Vella,1,el Raval,5,1013,68,2
2017-01-01,1,Ciutat Vella,1,el Raval,5,1013,105,3
2017-01-01,1,Ciutat Vella,1,el Raval,6,1014,257,1
2017-01-01,1,Ciutat Vella,1,el Raval,6,1014,131,2
2017-01-01,1,Ciutat Vella,1,el Raval,6,1014,167,3
2017-01-01,1,Ciutat Vella,1,el Raval,6,1015,390,1
2017-01-01,1,Ciutat Vella,1,el Raval,6,1015,212,2
2017-01-01,1,Ciutat Vella,1,el Raval,6,1015,210,3
2017-01-01,1,Ciutat Vella,1,el Raval,6,1016,317,1
2017-01-01,1,Ciutat Vella,1,el Raval,6,1016,210,2
2017-01-01,1,Ciutat Vella,1,el Raval,6,1016,218,3
2017-01-01,1,Ciutat Vella,1,el Raval,6,1017,355,1
2017-01-01,1,Ciutat Vella,1,el Raval,6,1017,267,2
2017-01-01,1,Ciutat Vella,1,el Raval,6,1017,245,3
2017-01-01,1,Ciutat Vella,1,el Raval,7,1018,287,1
2017-01-01,1,Ciutat Vella,1,el Raval,7,1018,134,2
2017-01-01,1,Ciutat Vella,1,el Raval,7,1018,132,3
2017-01-01,1,Ciutat Vella,1,el Raval,7,1019,477,1
2017-01-01,1,Ciutat Vella,1,el Raval,7,1019,363,2
2017-01-01,1,Ciutat Vella,1,el Raval,7,1019,227,3
2017-01-01,1,Ciutat Vella,1,el Raval,7,1020,533,1
2017-01-01,1,Ciutat Vella,1,el Raval,7,1020,212,2
2017-01-01,1,Ciutat Vella,1,el Raval,7,1020,168,3
2017-01-01,1,Ciutat Vella,1,el Raval,8,1021,548,1
2017-01-01,1,Ciutat Vella,1,el Raval,8,1021,254,2
2017-01-01,1,Ciutat Vella,1,el Raval,8,1021,144,3
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,323,1
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,152,2
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,106,3
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,514,1
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,215,2
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,155,3
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,310,1
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,173,2
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,93,3
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,327,1
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,204,2
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,112,3
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,366,1
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,179,2
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,133,3
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,400,1
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,280,2
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,148,3
