Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_DOMICILI
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,290,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,139,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,91,3
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,269,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,162,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,119,3
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,584,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,281,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,199,3
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,639,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,242,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,190,3
2014-01-01,1,Ciutat Vella,1,el Raval,3,1005,541,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1005,228,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1005,168,3
2014-01-01,1,Ciutat Vella,1,el Raval,3,1006,277,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1006,209,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1006,134,3
2014-01-01,1,Ciutat Vella,1,el Raval,3,1007,332,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1007,185,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1007,150,3
2014-01-01,1,Ciutat Vella,1,el Raval,4,1008,474,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1008,357,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1008,208,3
2014-01-01,1,Ciutat Vella,1,el Raval,4,1009,455,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1009,214,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1009,148,3
2014-01-01,1,Ciutat Vella,1,el Raval,4,1010,317,1
