Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_DOMICILI
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,282,1
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,144,2
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,82,3
2018-01-01,1,Ciutat Vella,1,el Raval,1,1002,254,1
2018-01-01,1,Ciutat Vella,1,el Raval,1,1002,188,2
2018-01-01,1,Ciutat Vella,1,el Raval,1,1002,98,3
2018-01-01,1,Ciutat Vella,1,el Raval,2,1003,547,1
2018-01-01,1,Ciutat Vella,1,el Raval,2,1003,303,2
2018-01-01,1,Ciutat Vella,1,el Raval,2,1003,218,3
2018-01-01,1,Ciutat Vella,1,el Raval,2,1004,617,1
2018-01-01,1,Ciutat Vella,1,el Raval,2,1004,288,2
2018-01-01,1,Ciutat Vella,1,el Raval,2,1004,200,3
2018-01-01,1,Ciutat Vella,1,el Raval,3,1005,490,1
2018-01-01,1,Ciutat Vella,1,el Raval,3,1005,278,2
2018-01-01,1,Ciutat Vella,1,el Raval,3,1005,167,3
2018-01-01,1,Ciutat Vella,1,el Raval,3,1006,271,1
2018-01-01,1,Ciutat Vella,1,el Raval,3,1006,230,2
2018-01-01,1,Ciutat Vella,1,el Raval,3,1006,115,3
2018-01-01,1,Ciutat Vella,1,el Raval,3,1007,300,1
2018-01-01,1,Ciutat Vella,1,el Raval,3,1007,208,2
2018-01-01,1,Ciutat Vella,1,el Raval,3,1007,162,3
2018-01-01,1,Ciutat Vella,1,el Raval,4,1008,416,1
2018-01-01,1,Ciutat Vella,1,el Raval,4,1008,359,2
2018-01-01,1,Ciutat Vella,1,el Raval,4,1008,237,3
2018-01-01,1,Ciutat Vella,1,el Raval,4,1009,416,1
2018-01-01,1,Ciutat Vella,1,el Raval,4,1009,257,2
2018-01-01,1,Ciutat Vella,1,el Raval,4,1009,136,3
2018-01-01,1,Ciutat Vella,1,el Raval,4,1010,315,1
2018-01-01,1,Ciutat Vella,1,el Raval,4,1010,272,2
2018-01-01,1,Ciutat Vella,1,el Raval,4,1010,194,3
2018-01-01,1,Ciutat Vella,1,el Raval,5,1011,447,1
2018-01-01,1,Ciutat Vella,1,el Raval,5,1011,435,2
2018-01-01,1,Ciutat Vella,1,el Raval,5,1011,252,3
2018-01-01,1,Ciutat Vella,1,el Raval,5,1012,384,1
2018-01-01,1,Ciutat Vella,1,el Raval,5,1012,209,2
2018-01-01,1,Ciutat Vella,1,el Raval,5,1012,141,3
2018-01-01,1,Ciutat Vella,1,el Raval,5,1013,304,1
2018-01-01,1,Ciutat Vella,1,el Raval,5,1013,82,2
2018-01-01,1,Ciutat Vella,1,el Raval,5,1013,112,3
2018-01-01,1,Ciutat Vella,1,el Raval,6,1014,267,1
2018-01-01,1,Ciutat Vella,1,el Raval,6,1014,143,2
2018-01-01,1,Ciutat Vella,1,el Raval,6,1014,156,3
2018-01-01,1,Ciutat Vella,1,el Raval,6,1015,394,1
2018-01-01,1,Ciutat Vella,1,el Raval,6,1015,216,2
2018-01-01,1,Ciutat Vella,1,el Raval,6,1015,195,3
2018-01-01,1,Ciutat Vella,1,el Raval,6,1016,294,1
2018-01-01,1,Ciutat Vella,1,el Raval,6,1016,245,2
2018-01-01,1,Ciutat Vella,1,el Raval,6,1016,202,3
2018-01-01,1,Ciutat Vella,1,el Raval,6,1017,343,1
2018-01-01,1,Ciutat Vella,1,el Raval,6,1017,289,2
2018-01-01,1,Ciutat Vella,1,el Raval,6,1017,223,3
2018-01-01,1,Ciutat Vella,1,el Raval,7,1018,286,1
2018-01-01,1,Ciutat Vella,1,el Raval,7,1018,137,2
2018-01-01,1,Ciutat Vella,1,el Raval,7,1018,135,3
2018-01-01,1,Ciutat Vella,1,el Raval,7,1019,469,1
2018-01-01,1,Ciutat Vella,1,el Raval,7,1019,410,2
2018-01-01,1,Ciutat Vella,1,el Raval,7,1019,213,3
2018-01-01,1,Ciutat Vella,1,el Raval,7,1020,519,1
2018-01-01,1,Ciutat Vella,1,el Raval,7,1020,212,2
2018-01-01,1,Ciutat Vella,1,el Raval,7,1020,178,3
2018-01-01,1,Ciutat Vella,1,el Raval,8,1021,540,1
2018-01-01,1,Ciutat Vella,1,el Raval,8,1021,254,2
2018-01-01,1,Ciutat Vella,1,el Raval,8,1021,146,3
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,324,1
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,168,2
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,100,3
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,512,1
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,243,2
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,148,3
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,291,1
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,201,2
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,100,3
