Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Sup_mitjana_m2
2021,1,Ciutat Vella,1,el Raval,1,"76,9"
2021,1,Ciutat Vella,1,el Raval,2,"70,5"
2021,1,Ciutat Vella,1,el Raval,3,"59,2"
2021,1,Ciutat Vella,1,el Raval,4,"65,2"
2021,1,Ciutat Vella,1,el Raval,5,"77,7"
2021,1,Ciutat Vella,1,el Raval,6,"78,2"
2021,1,Ciutat Vella,1,el Raval,7,"70,1"
2021,1,Ciutat Vella,1,el Raval,8,"54,6"
2021,1,Ciutat Vella,1,el Raval,9,"57,8"
2021,1,Ciutat Vella,1,el Raval,10,"56,3"
2021,1,Ciutat Vella,1,el Raval,11,"53,0"
2021,1,Ciutat Vella,1,el Raval,12,"56,4"
2021,1,Ciutat Vella,1,el Raval,13,"68,7"
2021,1,Ciutat Vella,1,el Raval,14,"61,9"
2021,1,Ciutat Vella,1,el Raval,15,"61,1"
2021,1,Ciutat Vella,1,el Raval,16,"60,4"
2021,1,Ciutat Vella,1,el Raval,17,"55,1"
2021,1,Ciutat Vella,1,el Raval,18,"69,9"
2021,1,Ciutat Vella,1,el Raval,19,"64,4"
2021,1,Ciutat Vella,1,el Raval,20,"91,0"
2021,1,Ciutat Vella,1,el Raval,21,"78,7"
2021,1,Ciutat Vella,2,el Gòtic,22,"105,2"
2021,1,Ciutat Vella,2,el Gòtic,23,"82,7"
2021,1,Ciutat Vella,2,el Gòtic,25,"84,5"
2021,1,Ciutat Vella,2,el Gòtic,26,"80,3"
2021,1,Ciutat Vella,2,el Gòtic,27,"96,1"
2021,1,Ciutat Vella,2,el Gòtic,28,"85,3"
2021,1,Ciutat Vella,2,el Gòtic,29,"89,9"
2021,1,Ciutat Vella,2,el Gòtic,30,"94,6"
2021,1,Ciutat Vella,2,el Gòtic,31,"81,7"
2021,1,Ciutat Vella,3,la Barceloneta,32,"46,2"
2021,1,Ciutat Vella,3,la Barceloneta,33,"42,2"
2021,1,Ciutat Vella,3,la Barceloneta,34,"37,3"
2021,1,Ciutat Vella,3,la Barceloneta,35,"38,1"
2021,1,Ciutat Vella,3,la Barceloneta,36,"60,4"
2021,1,Ciutat Vella,3,la Barceloneta,37,"53,8"
2021,1,Ciutat Vella,3,la Barceloneta,38,"36,2"
2021,1,Ciutat Vella,3,la Barceloneta,39,"52,2"
2021,1,Ciutat Vella,3,la Barceloneta,40,"47,1"
2021,1,Ciutat Vella,3,la Barceloneta,41,"36,1"
2021,1,Ciutat Vella,3,la Barceloneta,42,"67,3"
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,"82,8"
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,"82,9"
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,"70,0"
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,"68,8"
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,"63,0"
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,"62,1"
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,"81,7"
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,"70,4"
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,"58,8"
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,"107,0"
