Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Sup_mitjana_m2
2019,1,Ciutat Vella,1,el Raval,1,76.8
2019,1,Ciutat Vella,1,el Raval,2,71.6
2019,1,Ciutat Vella,1,el Raval,3,59.0
2019,1,Ciutat Vella,1,el Raval,4,65.3
2019,1,Ciutat Vella,1,el Raval,5,77.9
2019,1,Ciutat Vella,1,el Raval,6,78.1
2019,1,Ciutat Vella,1,el Raval,7,70.1
2019,1,Ciutat Vella,1,el Raval,8,54.6
2019,1,Ciutat Vella,1,el Raval,9,57.7
2019,1,Ciutat Vella,1,el Raval,10,56.5
2019,1,Ciutat Vella,1,el Raval,11,53.1
2019,1,Ciutat Vella,1,el Raval,12,56.2
2019,1,Ciutat Vella,1,el Raval,13,68.7
2019,1,Ciutat Vella,1,el Raval,14,61.9
2019,1,Ciutat Vella,1,el Raval,15,61.2
2019,1,Ciutat Vella,1,el Raval,16,60.8
2019,1,Ciutat Vella,1,el Raval,17,55.2
2019,1,Ciutat Vella,1,el Raval,18,70.0
2019,1,Ciutat Vella,1,el Raval,19,63.8
2019,1,Ciutat Vella,1,el Raval,20,91.6
2019,1,Ciutat Vella,1,el Raval,21,78.6
2019,1,Ciutat Vella,2,el Gòtic,22,106.8
2019,1,Ciutat Vella,2,el Gòtic,23,82.6
2019,1,Ciutat Vella,2,el Gòtic,25,84.5
2019,1,Ciutat Vella,2,el Gòtic,26,80.6
2019,1,Ciutat Vella,2,el Gòtic,27,96.3
2019,1,Ciutat Vella,2,el Gòtic,28,85.7
2019,1,Ciutat Vella,2,el Gòtic,29,90.2
2019,1,Ciutat Vella,2,el Gòtic,30,95.2
2019,1,Ciutat Vella,2,el Gòtic,31,83.0
2019,1,Ciutat Vella,3,la Barceloneta,32,46.4
2019,1,Ciutat Vella,3,la Barceloneta,33,42.2
2019,1,Ciutat Vella,3,la Barceloneta,34,37.3
2019,1,Ciutat Vella,3,la Barceloneta,35,38.2
2019,1,Ciutat Vella,3,la Barceloneta,36,60.4
2019,1,Ciutat Vella,3,la Barceloneta,37,53.8
2019,1,Ciutat Vella,3,la Barceloneta,38,36.1
2019,1,Ciutat Vella,3,la Barceloneta,39,52.2
2019,1,Ciutat Vella,3,la Barceloneta,40,46.9
2019,1,Ciutat Vella,3,la Barceloneta,41,36.3
2019,1,Ciutat Vella,3,la Barceloneta,42,66.8
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,82.9
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,83.3
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,70.5
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,68.5
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,62.6
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,62.1
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,81.7
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,69.8
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,58.8
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,106.9
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,57.3
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,57.9
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,84.8
2019,2,Eixample,5,el Fort Pienc,1,83.6
2019,2,Eixample,5,el Fort Pienc,2,77.8
2019,2,Eixample,5,el Fort Pienc,3,77.0
2019,2,Eixample,5,el Fort Pienc,4,81.5
2019,2,Eixample,5,el Fort Pienc,5,89.3
2019,2,Eixample,5,el Fort Pienc,6,91.4
2019,2,Eixample,5,el Fort Pienc,7,88.2
2019,2,Eixample,5,el Fort Pienc,8,89.3
2019,2,Eixample,5,el Fort Pienc,9,83.7
2019,2,Eixample,5,el Fort Pienc,10,92.1
2019,2,Eixample,5,el Fort Pienc,11,81.3
2019,2,Eixample,5,el Fort Pienc,12,75.0
2019,2,Eixample,5,el Fort Pienc,13,67.2
2019,2,Eixample,5,el Fort Pienc,14,73.2
2019,2,Eixample,5,el Fort Pienc,15,76.6
2019,2,Eixample,5,el Fort Pienc,16,83.3
2019,2,Eixample,5,el Fort Pienc,17,86.1
2019,2,Eixample,5,el Fort Pienc,18,89.2
2019,2,Eixample,5,el Fort Pienc,19,81.5
2019,2,Eixample,5,el Fort Pienc,20,70.2
2019,2,Eixample,6,la Sagrada Família,21,70.6
2019,2,Eixample,6,la Sagrada Família,22,77.2
2019,2,Eixample,6,la Sagrada Família,23,74.5
2019,2,Eixample,6,la Sagrada Família,24,72.5
2019,2,Eixample,6,la Sagrada Família,25,67.8
2019,2,Eixample,6,la Sagrada Família,26,75.0
2019,2,Eixample,6,la Sagrada Família,27,83.1
2019,2,Eixample,6,la Sagrada Família,28,72.0
2019,2,Eixample,6,la Sagrada Família,29,80.7
2019,2,Eixample,6,la Sagrada Família,30,74.5
2019,2,Eixample,6,la Sagrada Família,31,83.3
2019,2,Eixample,6,la Sagrada Família,32,76.8
2019,2,Eixample,6,la Sagrada Família,33,66.7
2019,2,Eixample,6,la Sagrada Família,34,65.7
2019,2,Eixample,6,la Sagrada Família,35,77.6
2019,2,Eixample,6,la Sagrada Família,36,81.4
2019,2,Eixample,6,la Sagrada Família,37,80.0
2019,2,Eixample,6,la Sagrada Família,38,73.6
2019,2,Eixample,6,la Sagrada Família,39,74.5
2019,2,Eixample,6,la Sagrada Família,40,63.7
2019,2,Eixample,6,la Sagrada Família,41,73.8
2019,2,Eixample,6,la Sagrada Família,42,85.0
2019,2,Eixample,6,la Sagrada Família,43,85.1
2019,2,Eixample,6,la Sagrada Família,44,75.6
2019,2,Eixample,6,la Sagrada Família,45,82.4
2019,2,Eixample,6,la Sagrada Família,46,77.4
2019,2,Eixample,6,la Sagrada Família,47,81.0
2019,2,Eixample,6,la Sagrada Família,48,77.1
2019,2,Eixample,6,la Sagrada Família,49,68.2
2019,2,Eixample,6,la Sagrada Família,50,69.2
2019,2,Eixample,6,la Sagrada Família,51,77.1
2019,2,Eixample,6,la Sagrada Família,52,72.7
2019,2,Eixample,6,la Sagrada Família,53,72.1
2019,2,Eixample,6,la Sagrada Família,54,79.0
2019,2,Eixample,7,la Dreta de l'Eixample,55,86.3
2019,2,Eixample,7,la Dreta de l'Eixample,56,99.5
2019,2,Eixample,7,la Dreta de l'Eixample,57,109.2
2019,2,Eixample,7,la Dreta de l'Eixample,58,87.4
2019,2,Eixample,7,la Dreta de l'Eixample,59,118.5
2019,2,Eixample,7,la Dreta de l'Eixample,60,101.1
2019,2,Eixample,7,la Dreta de l'Eixample,61,79.4
2019,2,Eixample,7,la Dreta de l'Eixample,62,116.0
2019,2,Eixample,7,la Dreta de l'Eixample,63,152.3
2019,2,Eixample,7,la Dreta de l'Eixample,64,115.6
2019,2,Eixample,7,la Dreta de l'Eixample,65,98.5
2019,2,Eixample,7,la Dreta de l'Eixample,66,88.6
2019,2,Eixample,7,la Dreta de l'Eixample,67,74.6
2019,2,Eixample,7,la Dreta de l'Eixample,68,89.6
2019,2,Eixample,7,la Dreta de l'Eixample,69,100.7
2019,2,Eixample,7,la Dreta de l'Eixample,70,112.7
2019,2,Eixample,7,la Dreta de l'Eixample,71,117.3
2019,2,Eixample,7,la Dreta de l'Eixample,72,127.7
2019,2,Eixample,7,la Dreta de l'Eixample,73,125.0
2019,2,Eixample,7,la Dreta de l'Eixample,74,141.4
2019,2,Eixample,7,la Dreta de l'Eixample,75,119.7
2019,2,Eixample,7,la Dreta de l'Eixample,76,139.1
2019,2,Eixample,7,la Dreta de l'Eixample,77,124.5
2019,2,Eixample,7,la Dreta de l'Eixample,78,129.8
2019,2,Eixample,7,la Dreta de l'Eixample,79,137.0
2019,2,Eixample,7,la Dreta de l'Eixample,80,147.2
2019,2,Eixample,7,la Dreta de l'Eixample,81,127.9
2019,2,Eixample,7,la Dreta de l'Eixample,82,131.3
2019,2,Eixample,7,la Dreta de l'Eixample,83,123.4
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,84,101.6
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,85,113.1
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,86,120.1
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,87,89.1
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,88,99.6
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,89,104.3
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,90,94.1
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,91,105.3
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,92,94.8
