Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,SEXE
2013-01-01,1,Ciutat Vella,1,el Raval,1,1001,580,1
2013-01-01,1,Ciutat Vella,1,el Raval,1,1001,774,2
2013-01-01,1,Ciutat Vella,1,el Raval,1,1002,708,1
2013-01-01,1,Ciutat Vella,1,el Raval,1,1002,870,2
2013-01-01,1,Ciutat Vella,1,el Raval,2,1003,1534,1
2013-01-01,1,Ciutat Vella,1,el Raval,2,1003,1835,2
2013-01-01,1,Ciutat Vella,1,el Raval,2,1004,1257,1
2013-01-01,1,Ciutat Vella,1,el Raval,2,1004,1647,2
2013-01-01,1,Ciutat Vella,1,el Raval,3,1005,1093,1
2013-01-01,1,Ciutat Vella,1,el Raval,3,1005,1482,2
2013-01-01,1,Ciutat Vella,1,el Raval,3,1006,764,1
2013-01-01,1,Ciutat Vella,1,el Raval,3,1006,990,2
2013-01-01,1,Ciutat Vella,1,el Raval,3,1007,804,1
2013-01-01,1,Ciutat Vella,1,el Raval,3,1007,1262,2
2013-01-01,1,Ciutat Vella,1,el Raval,4,1008,1421,1
2013-01-01,1,Ciutat Vella,1,el Raval,4,1008,2206,2
2013-01-01,1,Ciutat Vella,1,el Raval,4,1009,1039,1
2013-01-01,1,Ciutat Vella,1,el Raval,4,1009,1247,2
2013-01-01,1,Ciutat Vella,1,el Raval,4,1010,1027,1
2013-01-01,1,Ciutat Vella,1,el Raval,4,1010,1424,2
2013-01-01,1,Ciutat Vella,1,el Raval,5,1011,1473,1
2013-01-01,1,Ciutat Vella,1,el Raval,5,1011,2022,2
2013-01-01,1,Ciutat Vella,1,el Raval,5,1012,927,1
2013-01-01,1,Ciutat Vella,1,el Raval,5,1012,985,2
2013-01-01,1,Ciutat Vella,1,el Raval,5,1013,727,1
2013-01-01,1,Ciutat Vella,1,el Raval,5,1013,648,2
2013-01-01,1,Ciutat Vella,1,el Raval,6,1014,1001,1
2013-01-01,1,Ciutat Vella,1,el Raval,6,1014,1067,2
2013-01-01,1,Ciutat Vella,1,el Raval,6,1015,1135,1
2013-01-01,1,Ciutat Vella,1,el Raval,6,1015,1159,2
2013-01-01,1,Ciutat Vella,1,el Raval,6,1016,1115,1
2013-01-01,1,Ciutat Vella,1,el Raval,6,1016,1203,2
2013-01-01,1,Ciutat Vella,1,el Raval,6,1017,1226,1
2013-01-01,1,Ciutat Vella,1,el Raval,6,1017,1446,2
