Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Edat_mitjana
2023,1,Ciutat Vella,1,el Raval,1,70.8
2023,1,Ciutat Vella,1,el Raval,2,111.5
2023,1,Ciutat Vella,1,el Raval,3,95.2
2023,1,Ciutat Vella,1,el Raval,4,89.2
2023,1,Ciutat Vella,1,el Raval,5,103.1
2023,1,Ciutat Vella,1,el Raval,6,121.3
2023,1,Ciutat Vella,1,el Raval,7,116.1
2023,1,Ciutat Vella,1,el Raval,8,119.7
2023,1,Ciutat Vella,1,el Raval,9,102.9
2023,1,Ciutat Vella,1,el Raval,10,131.7
2023,1,Ciutat Vella,1,el Raval,11,139.4
2023,1,Ciutat Vella,1,el Raval,12,114.1
2023,1,Ciutat Vella,1,el Raval,13,96.5
2023,1,Ciutat Vella,1,el Raval,14,137.5
2023,1,Ciutat Vella,1,el Raval,15,115.8
2023,1,Ciutat Vella,1,el Raval,16,114.7
2023,1,Ciutat Vella,1,el Raval,17,137.9
2023,1,Ciutat Vella,1,el Raval,18,106.6
2023,1,Ciutat Vella,1,el Raval,19,133.9
2023,1,Ciutat Vella,1,el Raval,20,127.1
2023,1,Ciutat Vella,1,el Raval,21,111.8
2023,1,Ciutat Vella,2,el Barri Gòtic,22,95.3
2023,1,Ciutat Vella,2,el Barri Gòtic,23,134.1
2023,1,Ciutat Vella,2,el Barri Gòtic,25,145.7
2023,1,Ciutat Vella,2,el Barri Gòtic,26,135.8
2023,1,Ciutat Vella,2,el Barri Gòtic,27,139.3
2023,1,Ciutat Vella,2,el Barri Gòtic,28,118.6
2023,1,Ciutat Vella,2,el Barri Gòtic,29,114.6
2023,1,Ciutat Vella,2,el Barri Gòtic,30,105.1
2023,1,Ciutat Vella,2,el Barri Gòtic,31,124.4
2023,1,Ciutat Vella,3,la Barceloneta,32,86.5
2023,1,Ciutat Vella,3,la Barceloneta,33,86.1
2023,1,Ciutat Vella,3,la Barceloneta,34,87.9
2023,1,Ciutat Vella,3,la Barceloneta,35,94.3
2023,1,Ciutat Vella,3,la Barceloneta,36,47.2
2023,1,Ciutat Vella,3,la Barceloneta,37,87.1
2023,1,Ciutat Vella,3,la Barceloneta,38,106.5
2023,1,Ciutat Vella,3,la Barceloneta,39,89.6
2023,1,Ciutat Vella,3,la Barceloneta,40,84.1
2023,1,Ciutat Vella,3,la Barceloneta,41,102.2
2023,1,Ciutat Vella,3,la Barceloneta,42,76.6
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,78.7
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,100.6
